Sentence	Label
la mia alimentazione non è mai stata curata.	inserDatiGener
pressione di A su B.	inserDatiPress
Vorrei una torta per colazione	fuoriCont
mi sento molto sereno riguardo alla mia ipertensione.	pazienteSereno
Vorrei dare un’occhiata a tutte le letture che ho inserito.	richiestaStatsGener
Ho avuto mal di testa frequenti.	fuoriContMed
la mia pressione sanguigna è 135/85.	inserDatiPress
La mia pressione oggi è .../...e la mia frequenza cardiaca è ... bpm.	inserDatiTot
ciao, assistente! sono pronto per affrontare la mia ipertensione con il tuo aiuto.	saluti
Aiutami, c'è qualcosa che non va	pazienAllarmato
Quali sono i fattori di rischio per l’ipertensione?	spiegazioni
ho appena controllato, la mia pressione è 140/85.	inserDatiPress
Desidero visualizzare le mie letture dell’ultima settimana.	richiestaStatsGener
la mia pressione sanguigna è 140/90 e il mio battito cardiaco è 75.	inserDatiTot
Vorrei i dati dell’ultima settimana	richiestaStatsGener
ho avuto un episodio di tachicardia la scorsa notte.	inserDatiGener
Ho paura che la mia pressione alta possa causare un attacco di cuore.	pazienAllarmato
Qual è l'ultimo dato sulla pressione sanguigna?	richiestaStatsPress
Ho bisogno di inserire i miei ultimi valori di pressione arteriosa.	richiestaInsDati
ho iniziato una nuova dieta povera di grassi saturi.	inserDatiGener
Ho smesso di fumare da un mese.	inserDatiGener
Sei stato molto preciso	saluti
come la genetica può influenzare il mio rischio di cancro?	fuoriContMed
Quali sono i rischi per la salute associati all’ipertensione?	spiegazioni
Vorrei vedere le letture più recenti della pressione che ho registrato.	richiestaStatsPress
Posso aggiungere i dati della mia pressione sanguigna di questa settimana?	richiestaInsDati
Sai che oggi ho visto un film molto bello?	fuoriCont
Ho notato che la mia pressione sanguigna scende quando dormo bene.	inserDatiGener
ho appena controllato, la mia frequenza cardiaca è 75 battiti al minuto.	inserDatiFreq
come il fumo può influenzare le mie malattie cardiache?	fuoriContMed
come viene diagnosticata l’ipertensione?	spiegazioni
Desidero consultare le registrazioni degli ultimi 7 giorni.	richiestaStatsGener
Potrei vedere tutte le misurazioni che ho fatto?	richiestaStatsGener
Sto cercando di limitare la caffeina per evitare picchi di pressione sanguigna.	inserDatiGener
ho smesso di bere bevande energetiche da un mese.	inserDatiGener
La mia pressione sanguigna è 130/80.	inserDatiPress
Ho notato che la mia pressione sanguigna scende quando mi rilasso.	inserDatiGener
buonanotte, assistente! sono pronto per riposare e ricaricarmi per un altro giorno di gestione della mia ipertensione.	saluti
Misurazioni della pressione dell’ultimo mese?	richiestaStatsPress
Quali sono i fattori di rischio per l’ipertensione?	spiegazioni
ho appena misurato la mia frequenza cardiaca, è 75 battiti al minuto.	inserDatiFreq
come il sesso può influenzare il mio rischio di osteoporosi?	fuoriContMed
la mia pressione sanguigna è 135/85 e la mia frequenza cardiaca è 72.	inserDatiTot
Vorrei dare un’occhiata alle ultime letture della pressione che ho inserito nell’ultima settimana.	richiestaStatsPress
Quali sono le opzioni di trattamento farmacologico per l’ansia?	fuoriContMed
sono molto nervoso per i miei livelli di pressione sanguigna.	pazienAllarmato
Qual è il tuo museo d’arte preferito?	fuoriCont
la mia pressione sanguigna è 135/85.	inserDatiPress
Sto cercando di dormire almeno 8 ore a notte per mantenere la mia pressione sanguigna sotto controllo.	inserDatiGener
Hai visto l’ultimo film di Christopher Nolan?	fuoriCont
Potresti mostrarmi le mie letture dell’ultimo mese?	richiestaStatsGener
quali cambiamenti nello stile di vita posso fare per gestire il mio colesterolo alto?	fuoriContMed
Hai mai visitato la Costa Amalfitana?	fuoriCont
Potresti mostrarmi un sommario di tutte le mie misurazioni?	richiestaStatsGener
Ho appena misurato la mia pressione, è 130/85 e il mio battito cardiaco è 75.	inserDatiTot
Ho iniziato una nuova dieta ricca di frutta e verdura.	inserDatiGener
Ho iniziato a meditare per aiutare a gestire lo stress.	inserDatiGener
Vorrei rivedere i dati sulla frequenza  che ho inserito nell’ultimo mese.	richiestaStatsFreq
sono molto ansioso per la mia pressione alta.	pazienAllarmato
La mia ultima misurazione mostra una pressione sanguigna e frequenza cardiaca di 135/85 mmHg e 70 bpm.	inserDatiTot
Potresti mostrarmi la mia ultima misurazione della frequenza cardiaca?	richiestaStatsFreq
Dammi le statistiche dell'ultimo mese in un grafico	richiestaStatsGener
ciao, assistente! spero che tu possa darmi qualche consiglio utile per la mia ipertensione oggi.	saluti
Vorrei sapere se l'andamento della mia pressione è stabile nel tempo	richiestaStatsPress
Vorrei rivedere i dati più recenti che ho inserito.	richiestaStatsGener
Ricordami l'ultima misurazione inserita sulla pressione?	richiestaStatsPress
addio, assistente! sono grato per il tuo sostegno nel mio viaggio con l’ipertensione.	saluti
Mi piacerebbe controllare i dati che ho registrato nell’ultima settimana.	richiestaStatsGener
sono molto pacifico riguardo alla mia ipertensione.	pazienteSereno
la mia frequenza cardiaca è 72 battiti al minuto.	inserDatiFreq
Ho registrato un valore di pressione sanguigna di 140/90 mmHg oggi.	inserDatiPress
Ho avuto un episodio di mancanza di respiro ieri.	inserDatiGener
Mi piacerebbe esaminare le letture che ho registrato nell’ultimo mese.	richiestaStatsGener
Vorrei vedere l’ultima lettura della frequenza che ho registrato.	richiestaStatsFreq
ho iniziato a prendere un nuovo farmaco per l’ipertensione.	inserDatiGener
Potresti mostrarmi le mie misurazioni della frequenza cardiaca dell’ultima settimana?	richiestaStatsFreq
sono molto nervoso per la mia pressione alta.	pazienAllarmato
X su Y	inserDatiPress
Quali sono i miei dati più recenti sulla pressione sanguigna?	richiestaStatsPress
come una dieta sana può aiutare a gestire il mio peso?	fuoriContMed
Potrei vedere tutte le misurazioni della pressione che ho registrato?	richiestaStatsPress
non sono preoccupato per la mia pressione alta.	pazienteSereno
Non ho paura della mia pressione alta.	pazienteSereno
la mia pressione sanguigna è 125/80.	inserDatiPress
ho appena misurato la mia pressione, è 130/85 e il mio battito cardiaco è 75.	inserDatiTot
ho paura che la mia pressione alta possa causare un ictus.	pazienAllarmato
Mi sento un po' strano, quali sono i miei dati più recenti?	richiestaStatsGener
Sono molto calmo riguardo alla mia ipertensione.	pazienteSereno
Ho avuto un episodio di tachicardia la scorsa notte.	inserDatiGener
la mia pressione sanguigna è 130/80.	inserDatiPress
la mia pressione sanguigna è 135/85.	inserDatiPress
mi sento molto sereno riguardo alla mia ipertensione.	pazienteSereno
Sono preoccupato per i miei livelli di pressione sanguigna.	pazienAllarmato
Potresti mostrarmi tutte le mie letture che hai registrato?	richiestaStatsGener
il mio battito cardiaco è 70 battiti al minuto.	inserDatiFreq
Potresti aiutarmi a registrare le mie nuove letture della pressione sanguigna?	richiestaInsDati
Ho notato un cambiamento nel mio peso.	fuoriContMed
Quali sono i trattamenti disponibili per l’ipertensione?	spiegazioni
come il diabete può influenzare l’ipertensione?	spiegazioni
come l’età può influenzare la mia memoria?	fuoriContMed
ho appena misurato la mia pressione, è 130/85.	inserDatiPress
ho smesso di bere caffè da una settimana.	inserDatiGener
La mia pressione sanguigna è 130/80.	inserDatiPress
Potrei controllare le ultime misurazioni della frequenza cardiaca che ho registrato nell’ultimo mese?	richiestaStatsFreq
Che tipo di musica ti piace ascoltare?	fuoriCont
Ho iniziato una nuova dieta povera di grassi saturi.	inserDatiGener
Posso registrare i dati della mia frequenza cardiaca di ieri?	richiestaInsDati
La mia frequenza cardiaca è di 70 bpm, secondo l’ultima misurazione.	inserDatiFreq
La mia frequenza cardiaca è 72 battiti al minuto.	inserDatiFreq
Ho appena finito di fare una corsa, sono pieno di energie.	fuoriCont
La mia pressione oggi è A su B e la mia frequenza cardiaca è X bpm.	inserDatiTot
Sono molto preoccupato per i miei livelli di pressione sanguigna.	pazienAllarmato
Vorrei dare un’occhiata a tutte le letture della pressione che ho inserito.	richiestaStatsPress
Ho appena misurato la mia pressione sanguigna e i valori sono 120/80 mmHg.	inserDatiPress
Quali sono stati i valori sulla frequenza cardiaca nell'ultimo mese	richiestaStatsFreq
la mia pressione sanguigna è 130/80.	inserDatiPress
ho notato che la mia pressione sanguigna scende quando sono felice.	inserDatiGener
Ho appena fatto un controllo, il mio polso è 70.	inserDatiFreq
posso inserire la mia pressione sanguigna di oggi?	richiestaInsDati
Ho notato che il mio livello di stress è aumentato ultimamente.	inserDatiGener
Buonasera, assistente! Spero tu possa aiutarmi a capire meglio la mia ipertensione.	saluti
Quali sono i sintomi dell’ipertensione?	spiegazioni
la mia pressione sanguigna è 130/80 e il mio battito cardiaco è 70.	inserDatiTot
Ho appena fatto una lettura e la mia frequenza è di 72 bpm.	inserDatiFreq
Come posso prevenire l’ipertensione?	spiegazioni
Quando devo fare un collquio il mio cuore è infermabile.	pazienAllarmato
La mia pressione sanguigna è 135/85.	inserDatiPress
Desidero consultare tutte le mie letture della frequenza cardiaca.	richiestaStatsFreq
Mostra tutte le mie misurazioni tramite un grafico?	richiestaStatsGener
come la contraccezione ormonale può influenzare il mio ciclo mestruale?	fuoriContMed
Ho smesso di bere caffè da una settimana.	inserDatiGener
La mia pressione quando torno a casa dalla famiglia si alza sempre	pazienAllarmato
Posso aggiungere i dati della mia pressione sanguigna di quest’anno?	richiestaInsDati
Il mio battito cardiaco è 70 battiti al minuto.	inserDatiFreq
mostrami le statistiche sulla frequenza 	richiestaStatsFreq
Dammi il grafico con andamento di pressione arteriosa nell'ultima settimana	richiestaStatsPress
quali sono le opzioni di trattamento farmacologico per l’ipertensione?	spiegazioni
Posso aggiungere i dati della mia pressione sanguigna di domani?	richiestaInsDati
come l’alcol può influenzare l’ipertensione?	spiegazioni
Ho X anni e ho una dieta equilibrata.	inserDatiGener
Qual è il tuo poeta preferito?	fuoriCont
Potrei controllare tutte le misurazioni che ho registrato?	richiestaStatsGener
posso inserire i dati della mia pressione sanguigna e della mia frequenza cardiaca di oggi?	richiestaInsDati
hai mai provato a fare yoga?	fuoriCont
Quando sono a rischio ipertensione?	spiegazioni
Ho 50 anni e non bevo alcol.	inserDatiGener
la mia pressione sanguigna è 130/80 e il mio battito cardiaco è 72.	inserDatiTot
ciao, assistente! sono pronto per un altro giorno di successi nella gestione della mia ipertensione.	saluti
la mia pressione sanguigna è 125/80 e la mia frequenza cardiaca è 68.	inserDatiTot
Ho appena controllato, la mia pressione è 140/85 e la mia frequenza cardiaca è 75.	inserDatiTot
Vorrei registrare i miei ultimi dati sulla pressione sanguigna.	richiestaInsDati
Vorrei dare un’occhiata a tutte le letture della frequenza cardiaca che ho inserito.	richiestaStatsFreq
posso registrare i dati della mia frequenza cardiaca di questa settimana?	richiestaInsDati
buonasera, assistente! spero che tu possa aiutarmi a capire meglio la mia ipertensione.	saluti
La mia pressione sanguigna e frequenza cardiaca sono di 125/75 mmHg e 70 bpm, secondo l’ultima misurazione.	inserDatiTot
Sono molto ansioso per la mia ipertensione.	pazienAllarmato
Ho iniziato una nuova dieta per ridurre il sale.	inserDatiGener
Forniscimi tutte le mie misurazioni in un grafico?	richiestaStatsGener
come il sonno può influenzare la mia ansia?	fuoriContMed
posso registrare i dati della mia frequenza cardiaca del prossimo mese?	richiestaInsDati
Come viene diagnosticata l’ipertensione?	spiegazioni
Potrei vedere le misurazioni che ho registrato nell’ultimo mese?	richiestaStatsGener
non sono preoccupato per la mia pressione alta.	pazienteSereno
La mia ultima lettura della frequenza cardiaca era di 68 bpm.	inserDatiFreq
ho paura che la mia ipertensione possa peggiorare.	pazienAllarmato
Ho avuto problemi di sonno ultimamente.	fuoriContMed
Mi sento molto preoccupato per la mia pressione alta.	pazienAllarmato
Desidero consultare tutte le mie letture della pressione.	richiestaStatsPress
La mia frequenza cardiaca attuale è 68 battiti al minuto.	inserDatiFreq
Mi ricordi l'ultima misurazione fatta sulla frequenza 	richiestaStatsFreq
La mia pressione oggi è 120/80.	inserDatiPress
hai mai provato a fare surf?	fuoriCont
Mi sento un po’ ansioso perché la mia pressione sanguigna è salita all’improvviso.	pazienAllarmato
come la contraccezione ormonale può influenzare l’ipertensione?	spiegazioni
non ho paura della mia ipertensione.	pazienteSereno
Vorrei dare un’occhiata alle ultime letture della frequenza cardiaca che ho inserito negli ultimi sette giorni.	richiestaStatsFreq
ho iniziato a fare passeggiate regolari per aiutare a gestire la mia ipertensione.	inserDatiGener
sono molto stressato a causa della mia ipertensione.	pazienAllarmato
Ho avuto un po’ di vertigini oggi, potrebbe essere legato alla mia pressione sanguigna?	pazienAllarmato
quali sono i fattori di rischio per l’osteoporosi?	fuoriContMed
La mia frequenza cardiaca oggi è ...bpm.	inserDatiFreq
La mia pressione sanguigna è 135/85.	inserDatiPress
Mi sento in forma.	pazienteSereno
La mia frequenza cardiaca oggi è 75 bpm.	inserDatiFreq
Sono pieno di energie	pazienteSereno
Mi piacerebbe esaminare tutte le letture che ho registrato.	richiestaStatsGener
ho avuto un episodio di mancanza di respiro ieri.	inserDatiGener
Potrei vedere le ultime misurazioni del ritmo cardiaco che ho registrato nell’ultima settimana?	richiestaStatsFreq
Ti fornisco i dati: pressione è 130/85 e il mio battito cardiaco è 70.	inserDatiTot
sono molto ansioso per la mia ipertensione.	pazienAllarmato
sono molto stressato per i miei livelli di pressione sanguigna.	pazienAllarmato
Vorrei dare un’occhiata alle ultime letture che ho inserito.	richiestaStatsGener
La mia ultima misurazione mostra una pressione sanguigna di 135/85 mmHg.	inserDatiPress
Qual è l'andamento dei miei dati nella settimana	richiestaStatsGener
hai mai provato a fare paracadutismo?	fuoriCont
il mio battito cardiaco è 75 battiti al minuto.	inserDatiFreq
Posso inserire la mia pressione sanguigna di oggi?	richiestaInsDati
la mia pressione sanguigna è 130/80.	inserDatiPress
sono molto calmo riguardo alla mia pressione alta.	pazienteSereno
come il diabete può influenzare la mia vista?	fuoriContMed
ho iniziato una nuova dieta per ridurre il sale.	inserDatiGener
ho notato che la mia pressione sanguigna aumenta quando sono nervoso.	inserDatiGener
Ho bisogno di documentare le mie ultime letture della pressione sanguigna.	richiestaInsDati
non ho ansia per la mia ipertensione.	pazienteSereno
come il caffè può influenzare l’ipertensione?	spiegazioni
ho avuto un episodio di nausea questa mattina.	inserDatiGener
posso inserire i dettagli sulla mia condizione fisica?	richiestaInsDati
addio, assistente! grazie per avermi fornito informazioni preziose sulla mia ipertensione.	saluti
arrivederci, assistente! grazie per avermi aiutato a gestire la mia ipertensione oggi.	saluti
quali sono i trattamenti disponibili per l’ipertensione?	spiegazioni
Potresti mostrarmi tutte le mie misurazioni della pressione?	richiestaStatsPress
Qual è la mia ultima misurazione visualizzata in un grafico?	richiestaStatsGener
Mi piacerebbe esaminare i dati sulla pressione che ho registrato nell’ultimo mese.	richiestaStatsPress
Ho smesso di bere tè nero da due settimane.	inserDatiGener
buonanotte, assistente! sono pronto per riposare e ricaricarmi per un altro giorno di gestione della mia ipertensione.	saluti
sono molto nervoso per la mia ipertensione.	pazienAllarmato
Qual è il dato più recente	richiestaStatsGener
la mia pressione sanguigna è 140/90.	inserDatiPress
Potrei vedere l’ultima misurazione del ritmo cardiaco che ho registrato?	richiestaStatsFreq
come il caffè può influenzare il mio sonno?	fuoriContMed
Potrei controllare le misurazioni dei sette giorni precedenti?	richiestaStatsGener
Ho iniziato a fare passeggiate regolari per aiutare a gestire la mia ipertensione.	inserDatiGener
La mia pressione sanguigna attuale è 125/80 e la mia frequenza cardiaca è 68.	inserDatiTot
La mia ultima misurazione mostra una frequenza cardiaca di 70 bpm.	inserDatiFreq
Ho notato che la mia frequenza è di 73 bpm.	inserDatiFreq
posso aggiungere i dati della mia pressione sanguigna dell’anno scorso?	richiestaInsDati
ciao, assistente! sono pronto per un altro giorno di apprendimento sulla mia ipertensione.	saluti
Potrei controllare le ultime misurazioni della pressione che ho registrato nell’ultimo mese?	richiestaStatsPress
come l’asma può influenzare la mia vita quotidiana?	fuoriContMed
la mia pressione sanguigna è 140/90 e la mia frequenza cardiaca è 80 battiti al minuto.	inserDatiTot
vorrei aggiungere i dettagli del mio consumo di caffeina.	richiestaInsDati
Ho notato che la mia pressione sanguigna aumenta quando sono nervoso.	inserDatiGener
Ho misurato la frequenza ed è 80 bpm.	inserDatiFreq
la mia pressione sanguigna è 125/80 e la mia frequenza cardiaca è 68.	inserDatiTot
Dammi tutte le mie misurazioni inerenti alla pressione in un grafico	richiestaStatsPress
ho paura che la mia pressione alta possa causare problemi alla vista.	pazienAllarmato
La mia pressione oggi è 120/80 e la mia frequenza cardiaca è 75 bpm.	inserDatiTot
ho iniziato a fare esercizio fisico regolarmente.	inserDatiGener
Sono molto stressato a causa della mia ipertensione.	pazienAllarmato
Posso registrare i dati della mia frequenza cardiaca di questo mese?	richiestaInsDati
vorrei registrare i miei sintomi di oggi.	richiestaInsDati
Vorrei rivedere le letture che ho inserito nell’ultima settimana.	richiestaStatsGener
Potresti spiegarmi cosa significa avere la pressione alta?	spiegazioni
Desidero visualizzare i miei dati sulla pressione dell’ultimo mese.	richiestaStatsPress
Desidero consultare le mie letture della frequenza cardiaca delle ultime quattro settimane.	richiestaStatsFreq
come l’ambiente può influenzare la mia asma?	fuoriContMed
Posso registrare i dati della mia frequenza cardiaca di questa mattina?	richiestaInsDati
buon pomeriggio, assistente! spero che tu possa aiutarmi a monitorare la mia ipertensione.	saluti
come la menopausa può influenzare l’ipertensione?	spiegazioni
Ho smesso di bere alcol da due settimane.	inserDatiGener
la mia pressione sanguigna è 120/80.	inserDatiPress
la mia pressione sanguigna è 125/80 e la mia frequenza cardiaca è 68.	inserDatiTot
la mia pressione oggi è 120/80 e la mia frequenza cardiaca è 72.	inserDatiTot
Mi piacerebbe esaminare i dati sulla frequenza che ho registrato nell’ultima settimana.	richiestaStatsFreq
Potresti mostrarmi le mie misurazioni della pressione sanguigna dell’ultima settimana?	richiestaStatsPress
hai mai provato a dipingere?	fuoriCont
Ciao, assistente! Spero che tu possa darmi qualche consiglio utile per la mia ipertensione oggi.	saluti
Faccio attività fisica regolare	inserDatiGener
Mi piacerebbe esaminare tutti i dati sulla pressione che ho registrato.	richiestaStatsPress
Quali sono le possibili conseguenze associate all'ipertensione?	spiegazioni
Mi sento molto sereno riguardo alla mia ipertensione.	pazienteSereno
come il fumo può influenzare l’ipertensione?	spiegazioni
sono preoccupato per i miei livelli di pressione sanguigna.	pazienAllarmato
Mi piacerebbe controllare tutte le misurazioni che ho registrato.	richiestaStatsGener
Ho notato che la mia frequenza cardiaca è molto bassa, è normale?	pazienAllarmato
Ho notato che sto dormendo meglio da quando ho iniziato la nuova dieta.	pazienteSereno
Ho notato che la mia pressione sanguigna aumenta quando faccio esercizio fisico.	inserDatiGener
la mia pressione sanguigna è 130/80.	inserDatiPress
La mia pressione sanguigna e frequenza cardiaca più recenti sono di 120/70 mmHg e 71 bpm.	inserDatiTot
mi sento molto preoccupato per la mia pressione alta.	pazienAllarmato
La mia pressione oggi è .../...	inserDatiPress
quale è il tuo romanzo preferito?	fuoriCont
Vorrei vedere le letture della frequenza che ho registrato negli ultimi sette giorni.	richiestaStatsFreq
alla prossima, assistente! sono entusiasta di continuare a lavorare con te sulla mia ipertensione.	saluti
Il mio battito cardiaco è 72 battiti al minuto.	inserDatiFreq
Desidero visualizzare i miei dati sulla frequenza cardiaca delle 4 settimane precedenti.	richiestaStatsFreq
Come l’ipertensione può influenzare la mia vita quotidiana?	spiegazioni
Ho avuto problemi di udito.	fuoriContMed
posso inserire i dati della mia pressione sanguigna del mese scorso?	richiestaInsDati
ho notato che la mia pressione sanguigna aumenta quando faccio esercizio fisico.	inserDatiGener
Quali sono i trattamenti disponibili per l’ipertensione?	spiegazioni
Se ho un paziente iperteso, aumenta molto il mio rischio di sviluppare ipertensione?	spiegazioni
Potrei vedere le ultime misurazioni che ho registrato?	richiestaStatsGener
La frequenza cardiaca è 80	inserDatiFreq
sono molto stressato a causa della mia pressione alta.	pazienAllarmato
come il sale può influenzare l’ipertensione?	spiegazioni
Che libro stai leggendo al momento?	fuoriCont
come il clima può influenzare l’ipertensione?	spiegazioni
la mia pressione sanguigna è 140/90.	inserDatiPress
non ho ansia per la mia pressione alta.	pazienteSereno
Sono felice di informarti che la mia frequenza cardiaca è stabile e mi sento bene.	pazienteSereno
